Issuer,Coupon,ISIN,Issue Date,Maturity Date,Last Coupon Date,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,Bond URL
"Canada, Government of...",1.25%,CA135087K528,10/11/2019,3/1/2025,9/1/2024,99.73,99.73,99.74,99.73,99.74,99.73,99.73,99.77,99.78,99.8,https://markets.businessinsider.com/bonds/canadacd-bonds_201925-Bond-2025-ca135087k528
"Canada, Government of...",0.50%,CA135087K940,4/3/2020,9/1/2025,9/1/2024,98.4,98.41,98.4,98.42,98.37,98.36,98.36,98.4,98.47,98.5,https://markets.businessinsider.com/bonds/canadacd-bonds_202025-Bond-2025-ca135087k940
"Canada, Government of...",0.25%,CA135087L518,10/9/2020,3/1/2026,9/1/2024,96.99,96.98,96.97,97,96.9,96.91,96.8,96.9,97.01,97.06,https://markets.businessinsider.com/bonds/canadacd-bonds_202026-Bond-2026-ca135087l518
"Canada, Government of...",1.00%,CA135087L930,4/16/2021,9/1/2026,9/1/2024,97.01,96.99,97,97.03,96.86,96.77,96.71,96.85,97.03,97.07,https://markets.businessinsider.com/bonds/canadacd-bonds_202126-Bond-2026-ca135087l930
"Canada, Government of...",1.25%,CA135087M847,10/15/2021,3/1/2027,9/1/2024,96.62,96.59,96.58,96.63,96.39,96.28,96.19,96.36,96.6,96.64,https://markets.businessinsider.com/bonds/canadacd-bonds_202127-Bond-2027-ca135087m847
"Canada, Government of...",2.75%,CA135087N837,5/13/2022,9/1/2027,9/1/2024,99.63,99.56,99.54,99.58,99.27,99.13,99.02,99.2,99.5,99.53,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-Bond-2027-ca135087n837
"Canada, Government of...",3.50%,CA135087P576,10/21/2022,3/1/2028,9/1/2024,101.82,101.82,101.7,101.72,101.52,101.26,101.02,101.24,101.58,101.65,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-Bond-2028-ca135087p576
"Canada, Government of...",3.25%,CA135087Q491,4/21/2023,9/1/2028,9/1/2024,101.1,101.14,100.99,100.94,100.79,100.49,100.19,100.42,100.92,101.02,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-Bond-2028-ca135087q491
"Canada, Government of...",4.00%,CA135087Q988,10/13/2023,3/1/2029,9/1/2024,104.07,104.01,103.9,103.87,103.53,103.29,102.99,103.24,103.8,103.9,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-Bond-2029-ca135087q988
"Canada, Government of...",3.50%,CA135087R895,4/8/2024,9/1/2029,9/1/2024,102.22,102.14,102.04,101.98,101.59,101.28,101,101.27,101.85,101.97,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-Bond-2029-ca135087r895
"Canada, Government of...",2.75%,CA135087S471,10/3/2024,3/1/2030,9/1/2024,98.81,98.6,98.53,98.54,97.96,97.61,97.38,97.76,98.4,98.47,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-Bond-2030-ca135087s471
